#TYPE Microsoft.Win32.RegistryKey
"Property","PSPath","PSParentPath","PSChildName","PSDrive","PSProvider","PSIsContainer","SubKeyCount","View","Handle","ValueCount","Name"
"System.String[]","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Enrollment","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft","Enrollment","HKLM","Microsoft.PowerShell.Core\Registry","True","1","Default","Microsoft.Win32.SafeHandles.SafeRegistryHandle","0","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Enrollment"
"System.String[]","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Enrollments","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft","Enrollments","HKLM","Microsoft.PowerShell.Core\Registry","True","26","Default","Microsoft.Win32.SafeHandles.SafeRegistryHandle","0","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Enrollments"
"System.String[]","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\EnterpriseCertificates","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft","EnterpriseCertificates","HKLM","Microsoft.PowerShell.Core\Registry","True","7","Default","Microsoft.Win32.SafeHandles.SafeRegistryHandle","0","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\EnterpriseCertificates"
"System.String[]","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\EnterpriseDataProtection","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft","EnterpriseDataProtection","HKLM","Microsoft.PowerShell.Core\Registry","True","1","Default","Microsoft.Win32.SafeHandles.SafeRegistryHandle","0","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\EnterpriseDataProtection"
"System.String[]","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\EnterpriseResourceManager","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft","EnterpriseResourceManager","HKLM","Microsoft.PowerShell.Core\Registry","True","1","Default","Microsoft.Win32.SafeHandles.SafeRegistryHandle","0","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\EnterpriseResourceManager"
"System.String[]","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\EventSounds","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft","EventSounds","HKLM","Microsoft.PowerShell.Core\Registry","True","2","Default","Microsoft.Win32.SafeHandles.SafeRegistryHandle","0","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\EventSounds"
"System.String[]","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\EventSystem","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft","EventSystem","HKLM","Microsoft.PowerShell.Core\Registry","True","2","Default","Microsoft.Win32.SafeHandles.SafeRegistryHandle","1","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\EventSystem"
"System.String[]","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\eXdi","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft","eXdi","HKLM","Microsoft.PowerShell.Core\Registry","True","1","Default","Microsoft.Win32.SafeHandles.SafeRegistryHandle","0","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\eXdi"
"System.String[]","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\F12","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft","F12","HKLM","Microsoft.PowerShell.Core\Registry","True","1","Default","Microsoft.Win32.SafeHandles.SafeRegistryHandle","2","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\F12"
"System.String[]","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\FamilyStore","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft","FamilyStore","HKLM","Microsoft.PowerShell.Core\Registry","True","3","Default","Microsoft.Win32.SafeHandles.SafeRegistryHandle","0","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\FamilyStore"
